training_episode,win_rate,mean_episode_length,epsilon
0,0.0,12.64,1.0
100,0.0,15.87,0.9129
200,0.0,20.05,0.8452
300,0.0,21.35,0.7906
400,0.0,22.55,0.7454
500,0.04,26.01,0.7071
600,0.29,24.39,0.6742
700,0.19,22.65,0.6455
800,0.35,25.92,0.6202
900,0.26,23.23,0.5976
1000,0.22,24.74,0.5774
2000,0.33,28.88,0.4472
3000,0.25,21.26,0.378
4000,0.6,25.65,0.3333
5000,0.28,21.51,0.3015
6000,0.59,23.17,0.2774
7000,0.85,25.21,0.2582
8000,0.73,26.74,0.2425
9000,0.47,36.67,0.2294
10000,0.68,29.7,0.2182
11000,0.88,24.19,0.2085
12000,0.33,22.82,0.2
13000,0.56,22.53,0.1925
14000,0.73,29.12,0.1857
15000,0.84,23.73,0.1796
16000,0.8,21.49,0.1741
17000,0.8,21.2,0.169
18000,0.97,18.31,0.1644
19000,1.0,19.16,0.1601
20000,1.0,16.07,0.1562
21000,0.99,17.71,0.1525
22000,1.0,15.98,0.1491
23000,0.98,17.58,0.1459
24000,0.97,15.28,0.1429
25000,1.0,15.15,0.14
26000,0.99,15.29,0.1374
27000,1.0,17.92,0.1348
28000,1.0,16.98,0.1325
29000,0.97,20.0,0.1302
30000,0.85,25.53,0.128
31000,0.94,19.92,0.126
32000,0.98,17.02,0.124
33000,0.98,16.56,0.1222
34000,1.0,16.74,0.1204
35000,0.98,21.91,0.1187
36000,1.0,14.32,0.117
37000,0.99,13.23,0.1155
38000,0.99,15.67,0.114
39000,0.99,22.24,0.1125
40000,1.0,15.44,0.1111
41000,1.0,13.35,0.1098
42000,1.0,18.14,0.1085
43000,0.98,16.07,0.1072
44000,0.98,17.33,0.106
45000,1.0,14.15,0.1048
46000,1.0,19.27,0.1037
47000,0.95,20.54,0.1026
48000,1.0,17.23,0.1015
49000,1.0,16.22,0.1005
50000,0.97,15.79,0.0995
51000,0.95,17.07,0.0985
