training_episode,win_rate,mean_episode_length,epsilon
0,0.0,13.59,1.0
100,0.0,13.65,0.7071
200,0.0,19.42,0.5774
300,0.0,22.19,0.5
400,0.19,22.95,0.4472
500,0.26,24.58,0.4082
600,0.42,27.99,0.378
700,0.39,24.54,0.3536
800,0.49,28.16,0.3333
900,0.26,21.87,0.3162
1000,0.22,21.97,0.3015
2000,0.63,25.86,0.2182
3000,0.31,21.24,0.1796
4000,0.73,23.25,0.1562
5000,0.85,24.21,0.14
6000,0.85,23.99,0.128
7000,0.63,22.68,0.1187
8000,0.98,19.52,0.1111
9000,0.97,22.83,0.1048
10000,0.96,18.44,0.0995
11000,0.98,17.83,0.0949
12000,0.99,17.38,0.0909
13000,1.0,16.84,0.0874
14000,1.0,15.71,0.0842
15000,0.84,17.56,0.0814
16000,0.6,19.57,0.0788
17000,0.99,15.46,0.0765
18000,1.0,15.67,0.0743
19000,1.0,15.31,0.0724
20000,1.0,16.35,0.0705
21000,1.0,15.29,0.0688
22000,0.96,18.3,0.0673
23000,1.0,16.15,0.0658
24000,1.0,15.39,0.0644
25000,1.0,16.19,0.0631
26000,0.91,15.39,0.0619
27000,0.93,20.93,0.0607
28000,1.0,16.17,0.0597
29000,0.99,17.86,0.0586
30000,1.0,17.63,0.0576
31000,1.0,16.01,0.0567
32000,1.0,14.44,0.0558
33000,1.0,18.17,0.055
34000,0.97,18.66,0.0542
35000,1.0,14.01,0.0534
36000,0.99,15.26,0.0526
37000,0.93,20.95,0.0519
38000,1.0,14.41,0.0512
39000,1.0,15.86,0.0506
40000,1.0,13.69,0.0499
41000,1.0,18.92,0.0493
42000,0.96,14.39,0.0487
43000,1.0,12.88,0.0482
44000,0.98,14.87,0.0476
45000,0.81,25.57,0.0471
46000,0.99,13.21,0.0466
47000,1.0,14.13,0.0461
48000,1.0,14.98,0.0456
49000,0.97,15.84,0.0451
50000,0.91,16.54,0.0447
51000,1.0,14.27,0.0442
