training_episode,win_rate,mean_episode_length,epsilon
0,0.0,19.24,1.0
100,0.0,12.11,0.7071
200,0.0,14.67,0.5774
300,0.18,26.0,0.5
400,0.0,22.81,0.4472
500,0.33,23.43,0.4082
600,0.39,26.63,0.378
700,0.02,25.63,0.3536
800,0.19,24.79,0.3333
900,0.28,23.44,0.3162
1000,0.47,23.75,0.3015
2000,0.63,26.32,0.2182
3000,0.42,24.91,0.1796
4000,0.67,29.38,0.1562
5000,0.77,27.13,0.14
6000,0.71,22.75,0.128
7000,0.66,23.9,0.1187
8000,0.75,22.55,0.1111
9000,0.95,23.81,0.1048
10000,0.89,24.58,0.0995
11000,0.91,20.35,0.0949
12000,0.71,23.33,0.0909
13000,0.99,19.67,0.0874
14000,0.92,18.89,0.0842
15000,0.95,20.12,0.0814
16000,0.85,20.46,0.0788
17000,0.82,24.17,0.0765
18000,0.97,17.73,0.0743
19000,0.99,17.76,0.0724
20000,0.97,18.66,0.0705
21000,0.95,21.45,0.0688
22000,0.99,16.43,0.0673
23000,0.96,18.95,0.0658
24000,1.0,15.23,0.0644
25000,1.0,14.83,0.0631
26000,1.0,16.94,0.0619
27000,1.0,16.1,0.0607
28000,0.91,20.9,0.0597
29000,1.0,15.56,0.0586
30000,1.0,14.54,0.0576
31000,0.99,15.76,0.0567
32000,1.0,14.8,0.0558
33000,0.81,21.04,0.055
34000,0.98,20.36,0.0542
35000,1.0,13.82,0.0534
36000,1.0,14.73,0.0526
37000,1.0,14.15,0.0519
38000,0.98,18.99,0.0512
39000,1.0,13.52,0.0506
40000,0.99,17.85,0.0499
41000,1.0,12.86,0.0493
42000,1.0,14.82,0.0487
43000,0.99,14.42,0.0482
44000,0.99,19.4,0.0476
45000,1.0,14.29,0.0471
46000,0.99,15.18,0.0466
47000,0.98,14.93,0.0461
48000,1.0,15.42,0.0456
49000,1.0,13.76,0.0451
50000,0.97,19.13,0.0447
51000,0.97,17.21,0.0442
52000,1.0,13.48,0.0438
53000,0.96,15.85,0.0434
