training_episode,win_rate,mean_episode_length,epsilon
0,0.0,10.79,1.0
100,0.0,12.8,0.7071
200,0.0,20.41,0.5774
300,0.0,24.66,0.5
400,0.26,23.72,0.4472
500,0.01,17.47,0.4082
600,0.29,27.61,0.378
700,0.17,21.83,0.3536
800,0.27,24.88,0.3333
900,0.06,20.43,0.3162
1000,0.65,25.88,0.3015
2000,0.34,22.25,0.2182
3000,0.84,26.62,0.1796
4000,0.56,23.79,0.1562
5000,0.56,27.52,0.14
6000,0.88,23.88,0.128
7000,0.92,21.49,0.1187
8000,1.0,20.47,0.1111
9000,0.93,17.54,0.1048
10000,0.96,19.46,0.0995
11000,0.96,18.31,0.0949
12000,1.0,19.73,0.0909
13000,0.87,20.53,0.0874
14000,0.94,19.02,0.0842
15000,0.98,19.72,0.0814
16000,0.98,17.44,0.0788
17000,1.0,15.17,0.0765
18000,1.0,14.97,0.0743
19000,1.0,15.05,0.0724
20000,0.97,17.08,0.0705
21000,0.99,17.67,0.0688
22000,0.98,14.84,0.0673
23000,0.95,15.37,0.0658
24000,0.99,14.55,0.0644
25000,1.0,15.86,0.0631
26000,1.0,13.87,0.0619
27000,1.0,16.74,0.0607
28000,1.0,14.1,0.0597
29000,1.0,14.29,0.0586
30000,0.99,14.79,0.0576
31000,1.0,14.55,0.0567
32000,1.0,16.05,0.0558
33000,0.99,15.29,0.055
34000,1.0,14.67,0.0542
35000,0.98,19.78,0.0534
36000,1.0,14.61,0.0526
37000,1.0,13.51,0.0519
38000,1.0,14.25,0.0512
39000,1.0,13.9,0.0506
40000,0.91,17.49,0.0499
41000,0.99,15.12,0.0493
42000,1.0,15.38,0.0487
43000,0.98,15.33,0.0482
44000,1.0,14.14,0.0476
45000,1.0,12.76,0.0471
46000,0.99,14.13,0.0466
47000,0.99,18.27,0.0461
48000,1.0,12.85,0.0456
49000,1.0,14.38,0.0451
50000,1.0,13.63,0.0447
