training_episode,win_rate,mean_episode_length,epsilon
0,0.0,19.08,1.0
100,0.0,11.98,0.7071
200,0.0,12.28,0.5774
300,0.04,16.42,0.5
400,0.04,18.69,0.4472
500,0.07,18.92,0.4082
600,0.11,21.51,0.378
700,0.18,23.1,0.3536
800,0.11,20.95,0.3333
900,0.06,20.85,0.3162
1000,0.68,28.96,0.3015
2000,0.52,22.04,0.2182
3000,0.8,24.31,0.1796
4000,0.96,22.16,0.1562
5000,0.94,23.74,0.14
6000,0.53,25.65,0.128
7000,1.0,19.19,0.1187
8000,0.99,19.77,0.1111
9000,0.41,18.9,0.1048
10000,1.0,16.78,0.0995
11000,0.98,15.43,0.0949
12000,0.95,18.37,0.0909
13000,1.0,14.42,0.0874
14000,0.99,15.21,0.0842
15000,0.99,13.92,0.0814
16000,0.91,15.83,0.0788
17000,1.0,16.44,0.0765
18000,1.0,13.18,0.0743
19000,0.89,20.28,0.0724
20000,0.99,14.37,0.0705
21000,0.99,17.38,0.0688
22000,1.0,13.83,0.0673
23000,1.0,14.88,0.0658
24000,1.0,15.68,0.0644
25000,1.0,14.59,0.0631
26000,0.98,13.16,0.0619
27000,1.0,14.55,0.0607
28000,1.0,14.78,0.0597
29000,1.0,12.96,0.0586
30000,0.86,17.07,0.0576
31000,1.0,14.56,0.0567
32000,1.0,12.77,0.0558
33000,1.0,15.38,0.055
34000,0.97,14.74,0.0542
35000,1.0,12.66,0.0534
36000,1.0,13.06,0.0526
37000,0.99,13.06,0.0519
38000,0.99,12.79,0.0512
39000,1.0,12.85,0.0506
40000,1.0,12.62,0.0499
41000,1.0,12.71,0.0493
42000,1.0,12.95,0.0487
43000,1.0,12.64,0.0482
44000,1.0,15.46,0.0476
45000,1.0,12.6,0.0471
46000,1.0,12.87,0.0466
47000,1.0,13.77,0.0461
48000,1.0,12.55,0.0456
49000,1.0,16.58,0.0451
50000,1.0,12.55,0.0447
51000,1.0,12.57,0.0442
52000,1.0,12.85,0.0438
53000,1.0,12.57,0.0434
