training_episode,win_rate,mean_episode_length,epsilon
0,0.0,16.96,1.0
100,0.0,15.17,0.7071
200,0.0,22.45,0.5774
300,0.0,13.52,0.5
400,0.0,17.24,0.4472
500,0.0,24.52,0.4082
600,0.18,22.05,0.378
700,0.0,15.08,0.3536
800,0.08,20.9,0.3333
900,0.38,23.38,0.3162
1000,0.05,19.96,0.3015
2000,0.65,21.89,0.2182
3000,0.98,23.1,0.1796
4000,0.62,21.74,0.1562
5000,0.6,22.66,0.14
6000,0.93,19.27,0.128
7000,0.79,18.22,0.1187
8000,0.92,18.42,0.1111
9000,0.92,19.35,0.1048
10000,0.81,17.49,0.0995
11000,0.93,17.63,0.0949
12000,0.98,17.12,0.0909
13000,0.99,14.97,0.0874
14000,0.99,16.6,0.0842
15000,0.99,15.17,0.0814
16000,1.0,15.65,0.0788
17000,1.0,15.38,0.0765
18000,1.0,14.36,0.0743
19000,0.98,17.4,0.0724
20000,1.0,14.01,0.0705
21000,1.0,14.22,0.0688
22000,1.0,13.53,0.0673
23000,1.0,13.85,0.0658
24000,0.99,13.67,0.0644
25000,0.99,13.86,0.0631
26000,1.0,13.11,0.0619
27000,1.0,12.93,0.0607
28000,1.0,12.94,0.0597
29000,1.0,13.56,0.0586
30000,1.0,13.07,0.0576
31000,0.99,13.04,0.0567
32000,0.96,16.16,0.0558
33000,0.98,12.87,0.055
34000,1.0,13.24,0.0542
35000,1.0,13.19,0.0534
36000,1.0,12.89,0.0526
37000,1.0,12.98,0.0519
38000,1.0,13.34,0.0512
39000,1.0,12.6,0.0506
40000,1.0,13.81,0.0499
41000,1.0,12.69,0.0493
42000,1.0,12.67,0.0487
43000,1.0,12.67,0.0482
44000,1.0,12.97,0.0476
45000,1.0,12.77,0.0471
46000,1.0,12.69,0.0466
47000,1.0,12.54,0.0461
48000,1.0,12.61,0.0456
49000,1.0,12.66,0.0451
50000,1.0,12.63,0.0447
51000,1.0,12.56,0.0442
52000,1.0,12.72,0.0438
53000,1.0,12.75,0.0434
54000,1.0,12.56,0.043
