training_episode,win_rate,mean_episode_length,epsilon
0,0.0,10.13,0.5
100,0.0,12.93,0.499
200,0.0,17.93,0.4981
300,0.24,20.66,0.4971
400,0.04,18.8,0.4962
500,0.22,18.17,0.4952
600,0.08,18.57,0.4942
700,0.2,23.03,0.4933
800,0.1,19.05,0.4923
900,0.26,21.27,0.4914
1000,0.1,19.75,0.4904
2000,0.57,22.62,0.4808
3000,0.47,23.98,0.4712
4000,0.48,28.21,0.4616
5000,0.77,24.11,0.452
6000,0.81,23.44,0.4424
7000,0.44,22.02,0.4328
8000,0.75,23.36,0.4232
9000,0.67,26.68,0.4136
10000,0.96,20.55,0.404
11000,0.93,21.46,0.3944
12000,0.9,21.99,0.3848
13000,0.89,21.01,0.3752
14000,1.0,17.54,0.3656
15000,0.83,17.44,0.356
16000,1.0,16.28,0.3464
17000,0.97,18.59,0.3368
18000,0.99,16.96,0.3272
19000,1.0,18.18,0.3176
20000,0.98,16.92,0.308
21000,0.99,19.2,0.2984
22000,1.0,15.07,0.2888
