training_episode,win_rate,mean_episode_length,epsilon
1000,0.62,22.79,0.5774
2000,0.11,24.36,0.4472
3000,0.75,24.53,0.378
4000,0.28,22.28,0.3333
5000,0.66,26.25,0.3015
6000,0.12,19.18,0.2774
7000,0.84,23.84,0.2582
8000,0.43,22.84,0.2425
9000,0.82,24.13,0.2294
10000,0.74,21.52,0.2182
11000,0.84,23.0,0.2085
12000,0.92,21.79,0.2
13000,0.83,25.22,0.1925
14000,0.3,21.45,0.1857
15000,0.66,20.68,0.1796
16000,0.9,21.97,0.1741
17000,0.91,21.99,0.169
18000,0.99,17.38,0.1644
19000,0.93,21.35,0.1601
20000,0.9,23.43,0.1562
21000,1.0,16.01,0.1525
22000,0.87,22.96,0.1491
23000,0.97,19.5,0.1459
24000,0.96,18.19,0.1429
25000,0.99,17.94,0.14
26000,1.0,19.73,0.1374
27000,0.95,21.49,0.1348
28000,0.83,16.57,0.1325
29000,0.88,24.15,0.1302
30000,0.89,17.57,0.128
31000,1.0,15.38,0.126
32000,1.0,17.51,0.124
33000,1.0,15.54,0.1222
34000,0.99,16.33,0.1204
35000,0.94,22.28,0.1187
36000,1.0,13.82,0.117
37000,1.0,14.96,0.1155
38000,1.0,17.1,0.114
39000,1.0,15.94,0.1125
40000,1.0,15.66,0.1111
